,DeepCDR,scGPT,scFoundation,VQCell
0,0.3869151487018591,0.7502124594090597,0.7502124594090597,0.5799909711392978
1,0.9329532576143438,0.9948161989323502,0.9948161989323502,1.030343967103129
2,0.887215798956713,0.9559926997137406,0.9559926997137406,0.9757990750390514
3,0.6187042539434353,0.6985019004165781,0.6985019004165781,0.8454369783287693
4,0.7899112523646403,0.7360586541764027,0.7360586541764027,0.8510688736786562
5,0.717023356020617,0.9245691347222639,0.9245691347222639,1.0337254677246084
6,0.7785488971936242,0.8758733671057739,0.8758733671057739,0.9907613018141884
7,-0.05775788692638351,0.17974469655879471,0.17974469655879471,0.18975360785189194
8,0.7442459907293283,0.9504614212908329,0.9504614212908329,0.933342654681806
9,0.6325092662103508,0.7594255961168278,0.7594255961168278,0.8247992597833343
10,0.6729904555059459,0.8636876901436781,0.8636876901436781,0.7922173775049447
11,0.9325813602278263,0.976423555954585,0.976423555954585,0.903464745988191
12,0.8213963133994985,0.873409213242643,0.873409213242643,0.967269971198827
13,0.7630824008495914,0.9540772288901977,0.9540772288901977,1.0197196697248507
14,-0.16569605710302948,-0.23510568884783434,-0.23510568884783434,-0.18264483917463925
15,0.7561144730715358,0.8652875064359369,0.8652875064359369,0.9575949019907678
16,0.8176255365932585,0.9853903103151708,0.9853903103151708,0.9640670779326862
17,0.7851542823640746,0.9397281932226491,0.9397281932226491,0.9820511779981275
18,0.26910253388528027,0.33907620757883583,0.33907620757883583,0.46085384785908673
19,0.6497828503275886,0.7299789097602826,0.7299789097602826,0.657388709843797
20,0.7022271479210009,0.99396604340999,0.99396604340999,1.0456793980333916
21,0.5721693549926453,0.7404773848188588,0.7404773848188588,0.7590217645409463
22,0.28453666442624603,0.6352191766520869,0.6352191766520869,0.7513178116333126
23,0.5175642450935592,0.8425213795588152,0.8425213795588152,0.9789469915406984
24,1.0322475882538433,0.9403604561243821,0.9403604561243821,1.0217222656766083
25,0.8762393749583013,0.9697227646030804,0.9697227646030804,0.9943002229883051
